step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
422.0	from2.110	385.36	11.55	11.0	260	3.20773737333	6.0	53.0	regular	#841B2D
422.0	from3.117	194.37	495.05	11.0	283	3.72135457024	15.0	53.0	regular	#FF91AF
422.0	from3.118	8.25	436.84	14.0	293	2.99829894071	12.0	53.0	regular	#9F8170
422.0	from3.113	491.75	249.08	9.0	311	2.35964339138	8.0	53.0	regular	#ACE5EE
422.0	from1.121	35.13	488.45	14.0	283	4.50870960084	15.0	53.0	regular	#FF91AF
422.0	from0.110	31.95	491.75	14.0	283	4.23798638607	15.0	53.0	regular	#FF91AF
422.0	from0.112	11.55	300.15	12.0	293	3.60354480621	12.0	53.0	regular	#9F8170
422.0	from2.104	80.48	488.45	13.0	283	3.97219144701	15.0	53.0	regular	#FF91AF
422.0	from1.117	474.34	488.45	9.0	283	2.36225496476	15.0	53.0	regular	#FF91AF
422.0	from3.122	365.05	11.55	11.0	260	3.09008228601	6.0	53.0	regular	#841B2D
422.0	from3.120	22.7	11.55	8.0	304	1.74757760542	4.0	53.0	regular	#000000
422.0	from0.105	442.22	8.25	12.0	309	2.41877397795	8.0	53.0	regular	#A57164
422.0	from3.116	394.98	491.75	10.0	283	2.31008370396	15.0	53.0	regular	#FF91AF
422.0	from1.115	491.75	198.17	13.0	309	3.83775617149	8.0	53.0	regular	#A57164
422.0	from2.109	4.95	457.2	13.0	293	2.16993733466	12.0	53.0	regular	#9F8170
422.0	from3.121	278.21	11.55	9.0	260	2.15727659574	6.0	53.0	regular	#841B2D
422.0	from1.109	8.25	226.58	9.0	293	2.98525843089	12.0	53.0	regular	#9F8170
422.0	from1.122	20.28	488.45	13.0	283	2.55848744299	15.0	53.0	regular	#FF91AF
422.0	from2.108	142.16	491.75	13.0	283	4.47296610844	15.0	53.0	regular	#FF91AF
422.0	from2.111	475.64	11.55	12.0	260	2.59718812724	6.0	53.0	regular	#841B2D
422.0	from0.108	444.18	491.75	8.0	283	2.26231079384	15.0	53.0	regular	#FF91AF
422.0	from2.112	488.45	139.73	16.0	309	3.31589769586	8.0	53.0	regular	#A57164
422.0	from3.114	491.75	44.48	12.0	309	2.94530905361	8.0	53.0	regular	#A57164
422.0	from2.107	11.55	119.75	11.0	293	3.21743113712	12.0	53.0	regular	#9F8170
422.0	from1.118	230.79	488.45	10.0	283	3.77290106479	15.0	53.0	regular	#FF91AF
422.0	from2.101	419.03	488.45	9.0	283	2.90803225169	15.0	53.0	regular	#FF91AF
422.0	from1.113	488.44	13.05	11.0	309	1.68850652451	8.0	53.0	regular	#A57164
422.0	from1.112	4.95	398.33	13.0	293	2.60374367865	12.0	53.0	regular	#9F8170
422.0	from0.107	446.4	488.45	8.0	283	2.70351950807	15.0	53.0	regular	#FF91AF
422.0	from2.116	488.45	473.19	10.0	311	1.90067277559	8.0	53.0	regular	#ACE5EE
422.0	from1.114	398.95	8.25	11.0	309	1.67935814831	8.0	53.0	regular	#A57164
422.0	from0.104	488.45	264.35	9.0	309	3.63892853132	8.0	53.0	regular	#A57164
422.0	from0.109	195.64	491.75	12.0	283	4.15898228911	15.0	53.0	regular	#FF91AF
422.0	from0.102	95.08	8.25	9.0	304	1.6654352008	4.0	53.0	regular	#000000
422.0	from0.100	50.64	11.55	8.0	304	2.03738449463	4.0	53.0	regular	#000000
422.0	from0.103	144.57	8.25	9.0	304	1.69178961045	4.0	53.0	regular	#000000
422.0	from1.120	97.67	488.45	13.0	283	4.12176026922	15.0	53.0	regular	#FF91AF
422.0	from3.119	8.25	118.77	11.0	293	2.71190992564	12.0	53.0	regular	#9F8170
422.0	from0.106	484.14	8.25	11.0	309	3.11820529228	8.0	53.0	regular	#A57164
422.0	from0.101	406.61	11.55	11.0	260	3.19984331983	6.0	53.0	regular	#841B2D
422.0	from3.115	491.75	289.02	10.0	311	2.48402053668	8.0	53.0	regular	#ACE5EE
422.0	from0.114	11.55	141.74	11.0	293	3.24766944431	12.0	53.0	regular	#9F8170
422.0	from3.110	488.45	289.78	11.0	311	3.43710203818	8.0	53.0	regular	#ACE5EE
422.0	from0.111	11.55	393.23	13.0	293	2.65317103625	12.0	53.0	regular	#9F8170
422.0	from2.113	488.45	237.61	9.0	311	4.04001687278	8.0	53.0	regular	#ACE5EE
422.0	from0.113	11.55	240.04	9.0	293	3.38238530875	12.0	53.0	regular	#9F8170
422.0	from1.116	491.75	423.25	13.0	311	2.95867672008	8.0	53.0	regular	#ACE5EE
422.0	from1.119	144.42	488.45	13.0	283	4.91347412497	15.0	53.0	regular	#FF91AF
422.0	from2.114	488.45	395.25	14.0	311	0.0	8.0	53.0	regular	#ACE5EE
422.0	from0.115	11.55	64.94	10.0	293	3.39916602712	12.0	53.0	regular	#9F8170
422.0	from2.115	488.45	440.45	12.0	311	2.05413436037	8.0	53.0	regular	#ACE5EE
422.0	from3.123	459.65	11.55	12.0	260	2.46580190396	6.0	53.0	regular	#841B2D
422.0	from0.116	11.55	34.08	9.0	293	2.26974879083	12.0	53.0	regular	#9F8170
