step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
486.0	top.114	495.05	555.3	26.0	2516	1.0	2.0	61.0	regular	#B87333
486.0	top.117	498.35	767.78	3.0	2425	0.55	4.0	61.0	regular	#228B22
486.0	bottom.108	503.29	502.49	26.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	left.112	764.25	498.35	11.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	right.104	60.39	501.65	11.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	left.111	783.68	498.35	13.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	bottom.112	504.95	460.1	27.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	bottom.111	504.95	468.82	26.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	left.106	911.81	498.35	12.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	top.109	495.2	509.15	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	right.107	131.5	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	left.116	395.86	495.05	28.0	2452	0.65	6.0	61.0	regular	#E1A95F
486.0	right.115	534.83	504.95	27.0	2435	0.95	4.0	61.0	regular	#A6E7FF
486.0	left.115	472.32	495.05	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	top.110	495.05	520.39	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	right.106	108.47	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	right.111	230.92	501.65	11.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	left.117	266.41	495.05	10.0	2452	0.7	6.0	61.0	regular	#E1A95F
486.0	bottom.110	504.95	479.36	26.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	left.104	965.17	498.35	10.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	bottom.115	504.95	437.59	27.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	bottom.118	501.65	163.06	4.0	2235	0.55	6.0	61.0	regular	#4997D0
486.0	left.105	937.43	498.35	11.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	top.115	495.05	562.41	25.0	2516	0.95	2.0	61.0	regular	#B87333
486.0	right.103	28.09	501.65	10.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	bottom.109	504.83	490.48	26.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	left.113	486.65	495.05	26.0	2489	0.85	9.0	61.0	regular	#7B3F00
486.0	top.112	495.05	539.96	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	top.111	495.05	530.86	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	top.118	498.35	862.02	3.0	2425	0.55	4.0	61.0	regular	#228B22
486.0	right.113	520.36	504.95	26.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	bottom.113	504.95	452.32	27.0	2485	1.0	9.0	61.0	regular	#E68FAC
486.0	left.114	479.64	495.05	26.0	2452	0.65	6.0	61.0	regular	#E1A95F
486.0	left.118	165.49	498.35	12.0	2452	0.7	6.0	61.0	regular	#E1A95F
486.0	right.109	182.05	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	right.108	153.83	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	top.116	495.05	614.97	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	right.110	209.17	501.65	13.0	2273	0.4	12.0	61.0	regular	#3B444B
486.0	right.105	85.8	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	right.116	604.22	504.95	28.0	2435	0.95	4.0	61.0	regular	#A6E7FF
486.0	right.118	824.78	501.65	12.0	2273	0.5	12.0	61.0	regular	#3B444B
486.0	bottom.114	504.95	444.83	27.0	2485	0.95	9.0	61.0	regular	#E68FAC
486.0	left.108	861.88	498.35	12.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	left.109	837.97	498.35	12.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	bottom.117	504.95	262.14	7.0	2235	0.6	6.0	61.0	regular	#4997D0
486.0	left.107	885.37	498.35	12.0	2214	1.0	9.0	61.0	regular	#B9F2FF
486.0	right.117	732.56	504.95	11.0	2435	0.9	4.0	61.0	regular	#A6E7FF
486.0	bottom.116	504.95	359.19	26.0	2235	0.6	6.0	61.0	regular	#4997D0
486.0	left.110	804.87	498.35	12.0	2214	0.95	9.0	61.0	regular	#B9F2FF
486.0	top.108	496.98	496.37	26.0	2489	0.9	9.0	61.0	regular	#7B3F00
486.0	right.114	527.36	504.95	26.0	2235	0.55	6.0	61.0	regular	#4997D0
486.0	right.112	513.36	504.95	26.0	2435	1.0	4.0	61.0	regular	#A6E7FF
486.0	top.113	495.05	547.81	26.0	2489	0.85	9.0	61.0	regular	#7B3F00
486.0	top.119	498.35	921.11	3.0	2425	0.55	4.0	61.0	regular	#228B22
486.0	right.119	916.64	501.65	12.0	2273	0.45	12.0	61.0	regular	#3B444B
486.0	bottom.119	501.65	79.08	3.0	2235	0.6	6.0	61.0	regular	#4997D0
486.0	left.119	81.11	498.35	12.0	2452	0.65	6.0	61.0	regular	#E1A95F
486.0	right.120	982.65	501.65	10.0	2273	0.5	12.0	61.0	regular	#3B444B
486.0	left.120	15.88	498.35	10.0	2452	0.7	6.0	61.0	regular	#E1A95F
486.0	bottom.120	501.65	17.39	2.0	2235	0.6	6.0	61.0	regular	#4997D0
486.0	top.120	498.35	982.04	2.0	2425	0.5	4.0	61.0	regular	#228B22
